   emu(eV)      n(10^20/cm3)               DOS            intDOS            DOSvk2         |vk|(m/s)             sigma                ke      L(1E-8V2K-2)           S(uV/K)                PF  EFF(10^-20 W^5/3 m s^-1/3 K^-2)
  -3.00000    -1994.7516         1.1416833         13.690276        0.28657639E+12     501011.14        0.29612243E+21    0.48929389E+16     2.0654206         51.957312         79.940095         2.9953368    
  -2.99000    -1992.5554         1.1285354         13.701627        0.27879942E+12     497036.55        0.28808640E+21    0.47304023E+16     2.0525103         53.872836         83.610809         3.1571634    
  -2.98000    -1990.3845         1.1155156         13.712847        0.27093835E+12     492830.31        0.27996347E+21    0.45676062E+16     2.0393759         55.890833         87.454578         3.3279507    
  -2.97000    -1988.2387         1.1025826         13.723938        0.26299464E+12     488391.26        0.27175516E+21    0.44048430E+16     2.0261083         58.017221         91.472728         3.5080221    
  -2.96000    -1986.1178         1.0896879         13.734899        0.25497040E+12     483719.75        0.26346363E+21    0.42424340E+16     2.0128177         60.257912         95.664064         3.6976475    
  -2.95000    -1984.0220         1.0767756         13.745731        0.24686861E+12     478817.85        0.25509196E+21    0.40807292E+16     1.9996363         62.618714         100.02419         3.8970234    
  -2.94000    -1981.9512         1.0637815         13.756434        0.23869328E+12     473689.62        0.24664430E+21    0.39201059E+16     1.9867203         65.105216         104.54485         4.1062538    
  -2.93000    -1979.9056         1.0506332         13.767007        0.23044966E+12     468341.32        0.23812609E+21    0.37609666E+16     1.9742517         67.722700         109.21329         4.3253326    
  -2.92000    -1977.8857         1.0372496         13.777446        0.22214444E+12     462781.62        0.22954421E+21    0.36037381E+16     1.9624423         70.476046         114.01170         4.5541292    
  -2.91000    -1975.8920         1.0235404         13.787750        0.21378583E+12     457021.86        0.22090717E+21    0.34488714E+16     1.9515389         73.369628         118.91659         4.7923726    
  -2.90000    -1973.9253         1.0094066         13.797916        0.20538369E+12     451076.19        0.21222515E+21    0.32968438E+16     1.9418315         76.407145         123.89814         5.0396317    
  -2.89000    -1971.9863        0.99474072         13.807937        0.19694961E+12     444961.68        0.20351012E+21    0.31481613E+16     1.9336638         79.591379         128.91934         5.2952880    
  -2.88000    -1970.0764        0.97942798         13.817808        0.18849704E+12     438698.36        0.19477599E+21    0.30033610E+16     1.9274456         82.923835         133.93503         5.5584958    
  -2.87000    -1968.1968        0.96334860         13.827523        0.18004138E+12     432309.16        0.18603867E+21    0.28630117E+16     1.9236670         86.404273         138.89086         5.8281331    
  -2.86000    -1966.3491        0.94638111         13.837072        0.17160017E+12     425819.77        0.17731627E+21    0.27277119E+16     1.9229142         90.030117         143.72232         6.1027412    
  -2.85000    -1964.5353        0.92840676         13.846447        0.16319312E+12     419258.41        0.16862919E+21    0.25980857E+16     1.9258867         93.795775         148.35401         6.3804583    
  -2.84000    -1962.7572        0.90931499         13.855637        0.15484228E+12     412655.47        0.16000017E+21    0.24747765E+16     1.9334170         97.691858         152.69935         6.6589496    
  -2.83000    -1961.0173        0.88900961         13.864629        0.14657194E+12     406043.15        0.15145434E+21    0.23584393E+16     1.9464937         101.70429         156.66078         6.9353345    
  -2.82000    -1959.3179        0.86741543         13.873413        0.13840850E+12     399454.95        0.14301897E+21    0.22497329E+16     1.9662889         105.81331         160.13058         7.2061112    
  -2.81000    -1957.6616        0.84448495         13.881973        0.13038023E+12     392925.23        0.13472328E+21    0.21493116E+16     1.9941910         109.99230         162.99236         7.4670787    
  -2.80000    -1956.0509        0.82020460         13.890298        0.12251688E+12     386488.75        0.12659799E+21    0.20578172E+16     2.0318423         114.20639         165.12303         7.7132536    
  -2.79000    -1954.4885        0.79459994         13.898373        0.11484914E+12     380180.31        0.11867484E+21    0.19758690E+16     2.0811794         118.41086         166.39555         7.9387867    
  -2.78000    -1952.9769        0.76773944         13.906186        0.10740816E+12     374034.55        0.11098600E+21    0.19040527E+16     2.1444741         122.54922         166.68222         8.1368846    
  -2.77000    -1951.5184        0.73973615         13.913724        0.10022488E+12     368086.04        0.10356343E+21    0.18429043E+16     2.2243666         126.55111         165.85872         8.2997534    
  -2.76000    -1950.1150        0.71074703         13.920977        0.93329393E+11     362369.55        0.96438253E+20    0.17928882E+16     2.3238810         130.32994         163.80899         8.4185857    
  -2.75000    -1948.7685        0.68096976         13.927936        0.86750366E+11     356920.71        0.89640074E+20    0.17543677E+16     2.4464054         133.78063         160.43114         8.4836268    
  -2.74000    -1947.4803        0.65063725         13.934595        0.80514378E+11     351776.85        0.83196362E+20    0.17275658E+16     2.5956150         136.77751         155.64447         8.4843620    
  -2.73000    -1946.2510        0.62001009         13.940948        0.74645374E+11     346978.10        0.77131858E+20    0.17125146E+16     2.7753036         139.17305         149.39776         8.4098780    
  -2.72000    -1945.0811        0.58936756         13.946995        0.69164142E+11     342568.47        0.71468042E+20    0.17089940E+16     2.9890877         140.79795         141.67870         8.2494537    
  -2.71000    -1943.9702        0.55899796         13.952736        0.64087872E+11     338596.77        0.66222679E+20    0.17164619E+16     3.2399436         141.46345         132.52421         7.9934303    
  -2.70000    -1942.9176        0.52918889         13.958176        0.59429801E+11     335117.25        0.61409444E+20    0.17339807E+16     3.5295482         140.96695         122.03088         7.6343849    
  -2.69000    -1941.9219        0.50021810         13.963323        0.55198956E+11     332189.37        0.57037667E+20    0.17601501E+16     3.8574291         139.10196         110.36420         7.1685844    
  -2.68000    -1940.9812        0.47234541         13.968185        0.51400016E+11     329876.80        0.53112182E+20    0.17930620E+16     4.2199877         135.67314         97.764655         6.5976131    
  -2.67000    -1940.0932        0.44580604         13.972774        0.48033287E+11     328245.04        0.49633305E+20    0.18302981E+16     4.6095512         130.51649         84.548123         5.9299557    
  -2.66000    -1939.2551        0.42080547         13.977106        0.45094805E+11     327357.71        0.46596941E+20    0.18689894E+16     5.0137127         123.52348         71.097852         5.1821940    
  -2.65000    -1938.4637        0.39751596         13.981196        0.42576561E+11     327271.36        0.43994813E+20    0.19059581E+16     5.4152923         114.66619         57.845854         4.3793935    
  -2.64000    -1937.7156        0.37607468         13.985062        0.40466828E+11     328029.22        0.41814803E+20    0.19379438E+16     5.7932350         104.01880         45.243243         3.5542593    
  -2.63000    -1937.0072        0.35658328         13.988724        0.38750597E+11     329654.27        0.40041403E+20    0.19618978E+16     6.1245911         91.769866         33.721702         2.7448184    
  -2.62000    -1936.3345        0.33910895         13.992201        0.37410077E+11     332142.67        0.38656230E+20    0.19753034E+16     6.3874032         78.220206         23.651430         1.9907162    
  -2.61000    -1935.6936        0.32368651         13.995513        0.36425248E+11     335458.62        0.37638595E+20    0.19764624E+16     6.5639484         63.763900         15.303231         1.3286529    
  -2.60000    -1935.0806        0.31032166         13.998681        0.35774438E+11     339531.73        0.36966107E+20    0.19646833E+16     6.6435294         48.854020         8.8227572        0.78784548    
  -2.59000    -1934.4915        0.29899487         14.001726        0.35434896E+11     344257.74        0.36615254E+20    0.19403292E+16     6.6240467         33.958937         4.2225054        0.38652048    
  -2.58000    -1933.9223        0.28966578         14.004668        0.35383331E+11     349502.88        0.36561972E+20    0.19047142E+16     6.5119375         19.517754         1.3928017        0.13021748    
  -2.57000    -1933.3693        0.28227788         14.007526        0.35596416E+11     355111.48        0.36782155E+20    0.18598802E+16     6.3205928         5.9033408        0.12818372        0.12192509E-01
  -2.56000    -1932.8288        0.27676310         14.010320        0.36051214E+11     360915.77        0.37252102E+20    0.18083068E+16     6.0678013        -6.6012881        0.16233350        0.15645189E-01
  -2.55000    -1932.2972        0.27304627         14.013067        0.36725543E+11     366746.51        0.37948894E+20    0.17526179E+16     5.7729546        -17.811468         1.2039226        0.11708084    
  -2.54000    -1931.7711        0.27104911         14.015786        0.37598261E+11     372443.06        0.38850683E+20    0.16953320E+16     5.4546403        -27.636158         2.9672489        0.28997915    
  -2.53000    -1931.2472        0.27069378         14.018494        0.38649474E+11     377861.51        0.39936912E+20    0.16386847E+16     5.1289789        -36.064082         5.1942668        0.50806217    
  -2.52000    -1930.7226        0.27190576         14.021205        0.39860674E+11     382880.38        0.41188457E+20    0.15845275E+16     4.8087728        -43.145371         7.6673263        0.74772711    
  -2.51000    -1930.1941        0.27461632         14.023937        0.41214816E+11     387403.48        0.42587707E+20    0.15342935E+16     4.5033343        -48.972572         10.213864        0.98950345    
  -2.50000    -1929.6590        0.27876434         14.026702        0.42696352E+11     391360.31        0.44118594E+20    0.14890106E+16     4.2187728        -53.663634         12.705209         1.2186204    
  -2.49000    -1929.1145        0.28429770         14.029517        0.44291218E+11     394704.55        0.45766586E+20    0.14493452E+16     3.9585244        -57.348146         15.051760         1.4248960    
