   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -3.00000    -1994.7516         1.1416833         13.690276         3.8504612         501011.14         11315988.         175.21824         1.9355165         43.149537         210.69040    
  -2.99000    -1992.5554         1.1285354         13.701627         3.8670892         497036.55         11056214.         169.88499         1.9206958         45.398261         227.86880    
  -2.98000    -1990.3845         1.1155156         13.712847         3.8827617         492830.31         10788334.         164.48379         1.9058063         47.755942         246.04197    
  -2.97000    -1988.2387         1.1025826         13.723938         3.8974396         488391.26         10512477.         159.02599         1.8909197         50.227938         265.21357    
  -2.96000    -1986.1178         1.0896879         13.734899         3.9110881         483719.75         10228820.         153.52408         1.8761215         52.819653         285.37546    
  -2.95000    -1984.0220         1.0767756         13.745731         3.9236765         478817.85         9937594.8         147.99164         1.8615124         55.536452         306.50498    
  -2.94000    -1981.9512         1.0637815         13.756434         3.9351792         473689.62         9639092.5         142.44331         1.8472085         58.383589         328.56230    
  -2.93000    -1979.9056         1.0506332         13.767007         3.9455759         468341.32         9333674.2         136.89462         1.8333432         61.366154         351.48796    
  -2.92000    -1977.8857         1.0372496         13.777446         3.9548521         462781.62         9021775.5         131.36200         1.8200686         64.489023         375.20068    
  -2.91000    -1975.8920         1.0235404         13.787750         3.9629988         457021.86         8703911.1         125.86273         1.8075600         67.756802         399.59518    
  -2.90000    -1973.9253         1.0094066         13.797916         3.9700129         451076.19         8380676.5         120.41502         1.7960217         71.173725         424.53985    
  -2.89000    -1971.9863        0.99474072         13.807937         3.9758968         444961.68         8052750.9         115.03808         1.7856953         74.743470         449.87388    
  -2.88000    -1970.0764        0.97942798         13.817808         3.9806578         438698.36         7720898.9         109.75219         1.7768687         78.468888         475.40403    
  -2.87000    -1968.1968        0.96334860         13.827523         3.9843076         432309.16         7385973.3         104.57871         1.7698870         82.351625         500.90121    
  -2.86000    -1966.3491        0.94638111         13.837072         3.9868618         425819.77         7048918.1         99.539936         1.7651634         86.391664         526.09739    
  -2.85000    -1964.5353        0.92840676         13.846447         3.9883378         419258.41         6710771.0         94.658965         1.7631909         90.586786         550.68357    
  -2.84000    -1962.7572        0.90931499         13.855637         3.9887543         412655.47         6372662.4         89.959376         1.7645564         94.931973         574.30940    
  -2.83000    -1961.0173        0.88900961         13.864629         3.9881285         406043.15         6035811.8         85.464951         1.7699556         99.418742         596.58485    
  -2.82000    -1959.3179        0.86741543         13.873413         3.9864750         399454.95         5701518.6         81.199361         1.7802135         104.03440         617.08428    
  -2.81000    -1957.6616        0.84448495         13.881973         3.9838024         392925.23         5371147.3         77.185871         1.7963078         108.76118         635.35270    
  -2.80000    -1956.0509        0.82020460         13.890298         3.9801114         386488.75         5046108.9         73.447079         1.8193989         113.57521         650.91413    
  -2.79000    -1954.4885        0.79459994         13.898373         3.9753914         380180.31         4727837.6         70.004642         1.8508631         118.44529         663.28187    
  -2.78000    -1952.9769        0.76773944         13.906186         3.9696181         374034.55         4417764.4         66.878991         1.8923313         123.33144         671.97043    
  -2.77000    -1951.5184        0.73973615         13.913724         3.9627498         368086.04         4117290.4         64.088951         1.9457260         128.18319         676.50913    
  -2.76000    -1950.1150        0.71074703         13.920977         3.9547246         362369.55         3827758.3         61.651256         2.0132951         132.93765         676.45744    
  -2.75000    -1948.7685        0.68096976         13.927936         3.9454567         356920.71         3550425.8         59.579881         2.0976315         137.51741         671.42235    
