   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -2.52000    -1930.0972        0.26935684         14.024438         2.8987784         440542.75         1488681.9         45.775292         3.8436092        -26.897108         10.769935    
  -2.51000    -1929.5721        0.27370441         14.027152         2.8291710         445779.63         1523953.7         44.375451         3.6398294        -29.947490         13.667611    
  -2.50000    -1929.0372        0.27938908         14.029916         2.7614906         450107.68         1560936.4         43.135473         3.4542947        -32.285358         16.270331    
  -2.49000    -1928.4901        0.28637008         14.032744         2.6959748         453536.01         1599200.6         42.058718         3.2874798        -34.009231         18.496799    
  -2.48000    -1927.9282        0.29461749         14.035648         2.6327640         456090.89         1638375.0         41.143377         3.1390384        -35.211398         20.313270    
  -2.47000    -1927.3492        0.30411244         14.038640         2.5719183         457810.77         1678141.9         40.383832         3.0080764        -35.975897         21.719606    
  -2.46000    -1926.7506        0.31484713         14.041734         2.5134360         458742.15         1718232.6         39.771795         2.8933652        -36.377595         22.737877    
  -2.45000    -1926.1301        0.32682458         14.044941         2.4572697         458936.11         1758422.9         39.297232         2.7934997        -36.482011         23.403504    
  -2.44000    -1925.4851        0.34005833         14.048275         2.4033416         458445.79         1798528.3         38.949095         2.7070116        -36.345644         23.758663    
  -2.43000    -1924.8133        0.35457195         14.051747         2.3515542         457324.46         1838398.3         38.715881         2.6324466        -36.016617         23.847641    
  -2.42000    -1924.1122        0.37039867         14.055371         2.3017996         455624.20         1877912.4         38.586050         2.5684139        -35.535499         23.713746    
  -2.41000    -1923.3791        0.38758102         14.059159         2.2539657         453395.02         1916975.3         38.548312         2.5136156        -34.936208         23.397424    
  -2.40000    -1922.6115        0.40617077         14.063127         2.2079407         450684.21         1955513.3         38.591811         2.4668594        -34.246884         22.935220    
  -2.39000    -1921.8065        0.42622893         14.067288         2.1636156         447536.02         1993471.0         38.706231         2.4270626        -33.490708         22.359319    
  -2.38000    -1920.9611        0.44782608         14.071657         2.1208868         443991.39         2030808.5         38.881844         2.3932491        -32.686605         21.697444    
  -2.37000    -1920.0725        0.47104290         14.076250         2.0796573         440087.81         2067499.2         39.109527         2.3645431        -31.849846         20.972974    
  -2.36000    -1919.1373        0.49597088         14.081083         2.0398373         435859.31         2103527.4         39.380758         2.3401619        -30.992561         20.205197    
