   emu(eV)      n(10^20/cm3)               DOS            intDOS            DOSvk2         |vk|(m/s)             sigma                ke      L(1E-8V2K-2)           S(uV/K)                PF  EFF(10^-20 W^5/3 m s^-1/3 K^-2)
  -2.62000    -1935.4582        0.31400440         13.996730        0.39875719E+11     356357.90        0.41204004E+20    0.19918357E+16     6.0426036         10.837767        0.48397071        0.42878544E-01
  -2.61000    -1934.8634        0.30121223         13.999804        0.40119452E+11     364956.58        0.41455856E+20    0.19585198E+16     5.9054377        -1.8808046        0.14664702E-01    0.13357841E-02
  -2.60000    -1934.2913        0.29045136         14.002761        0.40640573E+11     374061.66        0.41994335E+20    0.19171775E+16     5.7066551        -13.678378        0.78570575        0.73325624E-01
  -2.59000    -1933.7382        0.28166976         14.005620        0.41417159E+11     383459.97        0.42796791E+20    0.18703912E+16     5.4630008        -24.338440         2.5351092        0.24148007    
  -2.58000    -1933.2001        0.27480123         14.008400        0.42427343E+11     392928.55        0.43840624E+20    0.18207918E+16     5.1915086        -33.736121         4.9896147        0.48316932    
  -2.57000    -1932.6736        0.26977000         14.011122        0.43649781E+11     402248.30        0.45103783E+20    0.17708304E+16     4.9076548        -41.829252         7.8917472        0.77366957    
  -2.56000    -1932.1551        0.26649510         14.013802        0.45064040E+11     411216.42        0.46565151E+20    0.17226258E+16     4.6242354        -48.642649         11.017815         1.0889654    
  -2.55000    -1931.6413        0.26489420         14.016457        0.46650884E+11     419656.26        0.48204854E+20    0.16778884E+16     4.3509323        -54.249865         14.186919         1.4078333    
  -2.54000    -1931.1290        0.26488691         14.019105        0.48392479E+11     427423.78        0.50004462E+20    0.16379053E+16     4.0943978        -58.755656         17.262676         1.7130863    
  -2.53000    -1930.6153        0.26639746         14.021760        0.50272507E+11     434410.42        0.51947116E+20    0.16035677E+16     3.8586543        -62.281110         20.149957         1.9920437    
  -2.52000    -1930.0972        0.26935684         14.024438        0.52276214E+11     440542.75        0.54017567E+20    0.15754236E+16     3.6456280        -64.952226         22.788886         2.2363986    
  -2.51000    -1929.5721        0.27370441         14.027152        0.54390398E+11     445779.63        0.56202176E+20    0.15537394E+16     3.4556923        -66.891911         25.147819         2.4416903    
  -2.50000    -1929.0372        0.27938908         14.029916        0.56603367E+11     450107.68        0.58488861E+20    0.15385609E+16     3.2881495        -68.214904         27.216464         2.6065749    
  -2.49000    -1928.4901        0.28637008         14.032744        0.58904869E+11     453536.01        0.60867026E+20    0.15297690E+16     3.1416209        -69.024982         28.999779         2.7320441    
  -2.48000    -1927.9282        0.29461749         14.035648        0.61286004E+11     456090.89        0.63327479E+20    0.15271255E+16     3.0143422        -69.413766         30.512895         2.8206932    
  -2.47000    -1927.3492        0.30411244         14.038640        0.63739140E+11     457810.77        0.65862330E+20    0.15303117E+16     2.9043758        -69.460614         31.777105         2.8760934    
  -2.46000    -1926.7506        0.31484713         14.041734        0.66257801E+11     458742.15        0.68464890E+20    0.15389569E+16     2.8097556        -69.233171         32.816809         2.9022934    
  -2.45000    -1926.1301        0.32682458         14.044941        0.68836563E+11     458936.11        0.71129551E+20    0.15526622E+16     2.7285815        -68.788301         33.657297         2.9034490    
  -2.44000    -1925.4851        0.34005833         14.048275        0.71470924E+11     458445.79        0.73851665E+20    0.15710173E+16     2.6590756        -68.173228         34.323218         2.8835700    
