   emu(eV)      n(10^20/cm3)               DOS            intDOS            DOSvk2         |vk|(m/s)             sigma                ke      L(1E-8V2K-2)           S(uV/K)                PF  EFF(10^-20 W^5/3 m s^-1/3 K^-2)
  -2.62000    -1936.3345        0.33910895         13.992201        0.40456120E+11     345400.13        0.41803739E+20    0.20414293E+16     6.1042067         28.915345         3.4951989        0.29418725    
  -2.61000    -1935.6936        0.32368651         13.995513        0.40278567E+11     352756.24        0.41620271E+20    0.20235763E+16     6.0774962         15.417242        0.98927780        0.85890799E-01
  -2.60000    -1935.0806        0.31032166         13.998681        0.40412845E+11     360872.40        0.41759022E+20    0.19945016E+16     5.9702715         2.3820859        0.23695461E-01    0.21159329E-02
  -2.59000    -1934.4915        0.29899487         14.001726        0.40838061E+11     369573.38        0.42198402E+20    0.19562395E+16     5.7947678        -9.8479844        0.40925190        0.37462175E-01
  -2.58000    -1933.9223        0.28966578         14.004668        0.41532473E+11     378656.40        0.42915946E+20    0.19112987E+16     5.5669828        -21.015699         1.8954239        0.17720923    
  -2.57000    -1933.3693        0.28227788         14.007526        0.42474091E+11     387903.44        0.43888930E+20    0.18623598E+16     5.3041843        -30.956706         4.2059534        0.40005959    
  -2.56000    -1932.8288        0.27676310         14.010320        0.43641191E+11     397094.81        0.45094906E+20    0.18120145E+16     5.0227804        -39.594922         7.0697892        0.68136391    
  -2.55000    -1932.2972        0.27304627         14.013067        0.45012754E+11     406022.10        0.46512157E+20    0.17625753E+16     4.7368671        -46.929083         10.243553        0.99618021    
  -2.54000    -1931.7711        0.27104911         14.015786        0.46568810E+11     414499.08        0.48120046E+20    0.17159647E+16     4.4575101        -53.014962         13.524554         1.3217086    
  -2.53000    -1931.2472        0.27069378         14.018494        0.48290686E+11     422369.51        0.49899279E+20    0.16736750E+16     4.1926333        -57.947043         16.755478         1.6388886    
  -2.52000    -1930.7226        0.27190576         14.021205        0.50161175E+11     429511.36        0.51832075E+20    0.16367798E+16     3.9473140        -61.842208         19.822963         1.9331598    
  -2.51000    -1930.1941        0.27461632         14.023937        0.52164615E+11     435837.74        0.53902251E+20    0.16059782E+16     3.7242837        -64.826685         22.652416         2.1945312    
  -2.50000    -1929.6590        0.27876434         14.026702        0.54286916E+11     441294.97        0.56095247E+20    0.15816548E+16     3.5244849        -67.026541         25.201110         2.4171651    
  -2.49000    -1929.1145        0.28429770         14.029517        0.56515538E+11     445858.71        0.58398106E+20    0.15639433E+16     3.3475899        -68.561375         27.450977         2.5986853    
  -2.48000    -1928.5580        0.29117429         14.032393        0.58839436E+11     449529.03        0.60799414E+20    0.15527854E+16     3.1924349        -69.540601         29.401959         2.7393806    
  -2.47000    -1927.9869        0.29936260         14.035345        0.61248984E+11     452325.09        0.63289226E+20    0.15479825E+16     3.0573578        -70.061622         31.066345         2.8414276    
  -2.46000    -1927.3987        0.30884209         14.038384        0.63735891E+11     454280.18        0.65858973E+20    0.15492379E+16     2.9404458        -70.209329         32.464192         2.9082053    
  -2.45000    -1926.7910        0.31960326         14.041526        0.66293089E+11     455437.23        0.68501353E+20    0.15561908E+16     2.8397082        -70.056425         33.619798         2.9437375    
  -2.44000    -1926.1611        0.33164750         14.044781        0.68914626E+11     455845.15        0.71210215E+20    0.15684425E+16     2.7531908        -69.664265         34.559100         2.9522698    
  -2.43000    -1925.5068        0.34498677         14.048163        0.71595536E+11     455555.98        0.73980428E+20    0.15855764E+16     2.6790471        -69.083966         35.307857         2.9379733    
  -2.42000    -1924.8253        0.35964324         14.051685        0.74331707E+11     454622.69        0.76807742E+20    0.16071726E+16     2.6155772        -68.357641         35.890469         2.9047537    
  -2.41000    -1924.1142        0.37564889         14.055360        0.77119757E+11     453097.61        0.79688664E+20    0.16328182E+16     2.5612461        -67.519646         36.329285         2.8561448    
  -2.40000    -1923.3708        0.39304532         14.059203        0.79956917E+11     451031.32        0.82620331E+20    0.16621131E+16     2.5146854        -66.597750         36.644267         2.7952612    
  -2.39000    -1922.5923        0.41188360         14.063226        0.82840936E+11     448471.91        0.85600419E+20    0.16946737E+16     2.4746866        -65.614194         36.852885         2.7247915    
  -2.38000    -1921.7760        0.43222445         14.067445        0.85769998E+11     445464.43        0.88627050E+20    0.17301338E+16     2.4401887        -64.586593         36.970135         2.6470142    
  -2.37000    -1920.9188        0.45413858         14.071876        0.88742651E+11     442050.61        0.91698723E+20    0.17681448E+16     2.4102637        -63.528681         37.008627         2.5638276    
  -2.36000    -1920.0175        0.47770728         14.076534        0.91757740E+11     438268.67        0.94814247E+20    0.18083753E+16     2.3841027        -62.450941         36.978695         2.4767858    
  -2.35000    -1919.0691        0.50302311         14.081436        0.94814341E+11     434153.24        0.97972665E+20    0.18505099E+16     2.3610028        -61.361117         36.888538         2.3871383    
  -2.34000    -1918.0698        0.53019084         14.086600        0.97911684E+11     429735.42        0.10117318E+21    0.18942492E+16     2.3403549        -60.264666         36.744380         2.2958714    
  -2.33000    -1917.0161        0.55932844         14.092046        0.10104909E+12     425042.88        0.10441509E+21    0.19393083E+16     2.3216331        -59.165152         36.550662         2.2037488    
  -2.32000    -1915.9041        0.59056826         14.097794        0.10422588E+12     420100.06        0.10769771E+21    0.19854156E+16     2.3043846        -58.064584         36.310240         2.1113513    
  -2.31000    -1914.7294        0.62405826         14.103865        0.10744138E+12     414928.45        0.11102032E+21    0.20323107E+16     2.2882194        -56.963708         36.024583         2.0191116    
  -2.30000    -1913.4876        0.65996326         14.110283        0.11069478E+12     409546.95        0.11438210E+21    0.20797425E+16     2.2728016        -55.862223         35.693940         1.9273448    
  -2.29000    -1912.1739        0.69846623         14.117073        0.11398520E+12     403972.24        0.11778212E+21    0.21274671E+16     2.2578418        -54.758952         35.317471         1.8362738    
  -2.28000    -1910.7830        0.73976930         14.124262        0.11731154E+12     398219.22        0.12121926E+21    0.21752458E+16     2.2430901        -53.651951         34.893350         1.7460496    
  -2.27000    -1909.3093        0.78409475         14.131878        0.12067251E+12     392301.44        0.12469219E+21    0.22228443E+16     2.2283315        -52.538600         34.418841         1.6567691    
  -2.26000    -1907.7467        0.83168545         14.139954        0.12406654E+12     386231.58        0.12819927E+21    0.22700318E+16     2.2133821        -51.415658         33.890373         1.5684899    
