   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -2.52000    -1930.7226        0.27190576         14.021205         2.9634216         429511.36         1445933.4         48.258178         4.1718881        -21.602074         6.7474424    
  -2.51000    -1930.1941        0.27461632         14.023937         2.8920415         435837.74         1478384.3         46.644512         3.9438759        -25.877250         9.8997350    
  -2.50000    -1929.6590        0.27876434         14.026702         2.8221544         441294.97         1513319.8         45.174184         3.7313812        -29.288540         12.981538    
  -2.49000    -1929.1145        0.28429770         14.029517         2.7541418         445858.71         1550215.6         43.861080         3.5366920        -31.937603         15.812361    
  -2.48000    -1928.5580        0.29117429         14.032393         2.6882713         449529.03         1588611.2         42.711507         3.3607584        -33.925615         18.284078    
  -2.47000    -1927.9869        0.29936260         14.035345         2.6247089         452325.09         1628106.6         41.725823         3.2035543        -35.348814         20.343821    
  -2.46000    -1927.3987        0.30884209         14.038384         2.5635353         454280.18         1668358.1         40.899925         3.0643845        -36.295808         21.978710    
  -2.45000    -1926.7910        0.31960326         14.041526         2.5047636         455437.23         1709073.6         40.226503         2.9421278        -36.846176         23.203078    
  -2.44000    -1926.1611        0.33164750         14.044781         2.4483562         455845.15         1750008.0         39.696087         2.8354219        -37.069994         24.048338    
  -2.43000    -1925.5068        0.34498677         14.048163         2.3942403         455555.98         1790958.0         39.297880         2.7427974        -37.027990         24.555324    
  -2.42000    -1924.8253        0.35964324         14.051685         2.3423204         454622.69         1831757.0         39.020401         2.6627714        -36.772096         24.768781    
  -2.41000    -1924.1142        0.37564889         14.055360         2.2924872         453097.61         1872270.1         38.851968         2.5939078        -36.346249         24.733622    
  -2.40000    -1923.3708        0.39304532         14.059203         2.2446253         451031.32         1912389.5         38.781037         2.5348547        -35.787296         24.492557    
  -2.39000    -1922.5923        0.41188360         14.063226         2.1986181         448471.91         1952030.6         38.796422         2.4843632        -35.125897         24.084712    
  -2.38000    -1921.7760        0.43222445         14.067445         2.1543516         445464.43         1991128.5         38.887435         2.4412937        -34.387375         23.544927    
  -2.37000    -1920.9188        0.45413858         14.071876         2.1117166         442050.61         2029635.5         39.043945         2.4046156        -33.592463         22.903495    
  -2.36000    -1920.0175        0.47770728         14.076534         2.0706105         438268.67         2067518.3         39.256420         2.3734022        -32.757942         22.186182    
  -2.35000    -1919.0691        0.50302311         14.081436         2.0309389         434153.24         2104755.3         39.515928         2.3468243        -31.897186         21.414422    
  -2.34000    -1918.0698        0.53019084         14.086600         1.9926160         429735.42         2141334.9         39.814143         2.3241427        -31.020644         20.605645    
  -2.33000    -1917.0161        0.55932844         14.092046         1.9555649         425042.88         2177252.6         40.143330         2.3047011        -30.136267         19.773690    
  -2.32000    -1915.9041        0.59056826         14.097794         1.9197178         420100.06         2212509.3         40.496319         2.2879180        -29.249892         18.929260    
  -2.31000    -1914.7294        0.62405826         14.103865         1.8850162         414928.45         2247109.8         40.866468         2.2732794        -28.365577         18.080379    
  -2.30000    -1913.4876        0.65996326         14.110283         1.8514103         409546.95         2281061.0         41.247611         2.2603303        -27.485882         17.232816    
  -2.29000    -1912.1739        0.69846623         14.117073         1.8188589         403972.24         2314371.3         41.634005         2.2486671        -26.612088         16.390452    
  -2.28000    -1910.7830        0.73976930         14.124262         1.7873286         398219.22         2347049.1         42.020273         2.2379311        -25.744358         15.555584    
  -2.27000    -1909.3093        0.78409475         14.131878         1.7567936         392301.44         2379102.3         42.401363         2.2278027        -24.881857         14.729184    
  -2.26000    -1907.7467        0.83168545         14.139954         1.7272346         386231.58         2410536.9         42.772515         2.2179973        -24.022836         13.911128    
  -2.25000    -1906.0887        0.88280505         14.148524         1.6986378         380021.80         2441356.1         43.129231         2.2082620        -23.164712         13.100411    
  -2.24000    -1904.3281        0.93773761         14.157623         1.6709940         373684.19         2471558.5         43.467266         2.1983733        -22.304119         12.295355    
  -2.23000    -1902.4573        0.99678666         14.167292         1.6442970         367231.04         2501137.3         43.782614         2.1881353        -21.436971         11.493819    
  -2.22000    -1900.4680         1.0602735         14.177574         1.6185430         360675.15         2530078.4         44.071511         2.1773788        -20.558493         10.693418    
  -2.21000    -1898.3514         1.1285347         14.188514         1.5937284         354029.97         2558358.9         44.330442         2.1659609        -19.663266         9.8917419    
  -2.20000    -1896.0977         1.2019189         14.200161         1.5698497         347309.76         2585945.5         44.556169         2.1537658        -18.745258         9.0866170    
  -2.19000    -1893.6968         1.2807821         14.212570         1.5469014         340529.52         2612792.1         44.745763         2.1407062        -17.797880         8.2763986    
  -2.18000    -1891.1377         1.3654827         14.225797         1.5248755         333705.02         2638838.1         44.896661         2.1267249        -16.814052         7.4603208    
  -2.17000    -1888.4089         1.4563745         14.239901         1.5037608         326852.56         2664005.5         45.006714         2.1117972        -15.786304         6.6388985    
  -2.16000    -1885.4979         1.5537995         14.254946         1.4835415         319988.82         2688197.6         45.074250         2.0959327        -14.706895         5.8143768    
  -2.15000    -1882.3918         1.6580796         14.270999         1.4641974         313130.57         2711296.7         45.098130         2.0791772        -13.567960         4.9912133    
  -2.14000    -1879.0771         1.7695074         14.288131         1.4457036         306294.34         2733162.7         45.077808         2.0616138        -12.361674         4.1765731    
  -2.13000    -1875.5396         1.8883376         14.306414         1.4280300         299496.10         2753631.7         45.013387         2.0433646        -11.080454         3.3808115    
  -2.12000    -1871.7650         2.0147782         14.325923         1.4111416         292750.84         2772515.7         44.905667         2.0245903        -9.7171723         2.6179046    
  -2.11000    -1867.7381         2.1489835         14.346736         1.3949992         286072.19         2789603.3         44.756181         2.0054904        -8.2654164         1.9057763    
  -2.10000    -1863.4441         2.2910492         14.368929         1.3795596         279472.07         2804660.4         44.567204         1.9863012        -6.7197618         1.2664500    
  -2.09000    -1858.8675         2.4410101         14.392583         1.3647768         272960.34         2817434.3         44.341735         1.9672924        -5.0760579        0.72595038    
  -2.08000    -1853.9931         2.5988422         14.417776         1.3506027         266544.59         2827657.3         44.083442         1.9487617        -3.3317029        0.31387686    
  -2.07000    -1848.8059         2.7644682         14.444586         1.3369888         260229.97         2835053.7         43.796566         1.9310289        -1.4858851        0.62593866E-01
  -2.06000    -1843.2907         2.9377676         14.473091         1.3238867         254019.20         2839347.6         43.485805         1.9144276        0.46022585        0.60139606E-02
  -2.05000    -1837.4329         3.1185902         14.503366         1.3112503         247912.65         2840271.7         43.156162         1.8992973         2.5033567        0.17799399    
  -2.04000    -1831.2181         3.3067711         14.535487         1.2990366         241908.61         2837577.3         42.812792         1.8859747         4.6380819        0.61041405    
  -2.03000    -1824.6322         3.5021477         14.569526         1.2872073         236003.69         2831044.6         42.460837         1.8747867         6.8568543         1.3310567    
  -2.02000    -1817.6614         3.7045729         14.605553         1.2757293         230193.32         2820492.1         42.105278         1.8660431         9.1501098         2.3614432    
  -2.01000    -1810.2923         3.9139258         14.643640         1.2645759         224472.39         2805785.9         41.750803         1.8600316         11.506437         3.7148071    
  -2.00000    -1802.5115         4.1301136         14.683855         1.2537273         218835.89         2786845.9         41.401709         1.8570146         13.912799         5.3943851    
  -1.99000    -1794.3058         4.3530657         14.726265         1.2431701         213279.66         2763651.8         41.061835         1.8572272         16.354778         7.3921820    
  -1.98000    -1785.6623         4.5827163         14.770938         1.2328978         207801.05         2736245.0         40.734530         1.8608773         18.816843         9.6883205    
  -1.97000    -1776.5681         4.8189761         14.817941         1.2229092         202399.46         2704729.1         40.422663         1.8681475         21.282585         12.251028    
  -1.96000    -1767.0104         5.0616935         14.867339         1.2132081         197076.86         2669268.0         40.128648         1.8791972         23.734940         15.037252    
  -1.95000    -1756.9771         5.3106074         14.919196         1.2038016         191838.06         2630081.7         39.854496         1.8941663         26.156361         17.993841    
  -1.94000    -1746.4565         5.5652938         14.973571         1.1946985         186690.76         2587440.4         39.601870         1.9131779         28.528946         21.059197    
  -1.93000    -1735.4380         5.8251132         15.030519         1.1859079         181645.44         2541658.5         39.372141         1.9363410         30.834534         24.165288    
  -1.92000    -1723.9126         6.0891608         15.090087         1.1774378         176715.06         2493086.2         39.166435         1.9637526         33.054761         27.239889    
  -1.91000    -1711.8731         6.3562273         15.152312         1.1692934         171914.49         2442102.4         38.985674         1.9954975         35.171096         30.208954    
  -1.90000    -1699.3152         6.6247766         15.217217         1.1614766         167259.92         2389106.6         38.830603         2.0316488         37.164874         32.999006    
  -1.89000    -1686.2378         6.8929432         15.284807         1.1539848         162768.06         2334510.7         38.701810         2.0722656         39.017318         35.539451    
  -1.88000    -1672.6436         7.1585560         15.355067         1.1468110         158455.41         2278732.2         38.599739         2.1173912         40.709567         37.764718    
  -1.87000    -1658.5399         7.4191877         15.427961         1.1399437         154337.52         2222186.7         38.524702         2.1670492         42.222694         39.616163    
  -1.86000    -1643.9388         7.6722315         15.503426         1.1333674         150428.36         2165282.1         38.476883         2.2212396         43.537724         41.043646    
  -1.85000    -1628.8577         7.9149997         15.581371         1.1270631         146739.78         2108413.5         38.456332         2.2799330         44.635627         42.006748    
  -1.84000    -1613.3189         8.1448392         15.661682         1.1210092         143281.18         2051959.0         38.462944         2.3430624         45.497296         42.475631    
  -1.83000    -1597.3499         8.3592550         15.744217         1.1151825         140059.33         1996277.3         38.496408         2.4105124         46.103516         42.431555    
  -1.82000    -1580.9829         8.5560329         15.828809         1.1095592         137078.35         1941706.4         38.556121         2.4821029         46.434954         41.867171    
  -1.81000    -1564.2536         8.7333505         15.915273         1.1041154         134339.88         1888564.3         38.641045         2.5575675         46.472213         40.786693    
  -1.80000    -1547.2013         8.8898681         16.003406         1.0988285         131843.33         1837149.8         38.749529         2.6365249         46.196020         39.206104    
  -1.79000    -1529.8669         9.0247923         16.092998         1.0936776         129586.24         1787745.2         38.879079         2.7184438         45.587624         37.153484    
  -1.78000    -1512.2926         9.1379059         16.183829         1.0886440         127564.66         1740618.6         39.026122         2.8026043         44.629490         34.669492    
  -1.77000    -1494.5202         9.2295633         16.275684         1.0837121         125773.63         1696025.9         39.185781         2.8880588         43.306321         31.807905    
  -1.76000    -1476.5907         9.3006512         16.368352         1.0788694         124207.53         1654211.8         39.351710         2.9735996         41.606440         28.635992    
  -1.75000    -1458.5424         9.3525191         16.461633         1.0741071         122860.44         1615410.0         39.516031         3.0577401         39.523457         25.234378    
  -1.74000    -1440.4110         9.3868854         16.555344         1.0694201         121726.45         1579841.1         39.669418         3.1387191         37.058115         21.696019    
  -1.73000    -1422.2284         9.4057273         16.649319         1.0648068         120799.81         1547710.2         39.801335         3.2145338         34.220124         18.123948    
  -1.72000    -1404.0227         9.4111654         16.743414         1.0602694         120075.04         1519203.0         39.900442         3.2830078         31.029743         14.627569    
  -1.71000    -1385.8177         9.4053503         16.837505         1.0558133         119546.99         1494481.0         39.955137         3.3418908         27.518903         11.317555    
  -1.70000    -1367.6332         9.3903619         16.931490         1.0514467         119210.74         1473677.4         39.954192         3.3889873         23.731636         8.2996120    
  -1.69000    -1349.4850         9.3681258         17.025288         1.0471798         119061.53         1456893.4         39.887417         3.4223007         19.723705         5.6676725    
  -1.68000    -1331.3854         9.3403515         17.118835         1.0430248         119094.54         1444194.5         39.746290         3.4401782         15.561392         3.4972169    
  -1.67000    -1313.3437         9.3084940         17.212082         1.0389946         119304.72         1435608.2         39.524494         3.4414417         11.319532         1.8394708    
  -1.66000    -1295.3666         9.2737367         17.304995         1.0351022         119686.57         1431121.7         39.218312         3.4254872         7.0789338        0.71715373    
  -1.65000    -1277.4589         9.2369928         17.397550         1.0313608         120233.91         1430680.1         38.826881         3.3923448         2.9234166        0.12227114    
  -1.64000    -1259.6236         9.1989218         17.489730         1.0277824         120939.57         1434183.8         38.352277         3.3426920        -1.0633112        0.16215323E-01
  -1.63000    -1241.8628         9.1599566         17.581525         1.0243780         121795.17         1441485.7         37.799477         3.2778228        -4.8007376        0.33222038    
  -1.62000    -1224.1781         9.1203367         17.672927         1.0211575         122790.80         1452387.4         37.176205         3.1995771        -8.2144289        0.98002517    
  -1.61000    -1206.5707         9.0801459         17.763930         1.0181289         123914.79         1466634.8         36.492685         3.1102395        -11.238603         1.8524506    
  -1.60000    -1189.0415         9.0393505         17.854528         1.0152991         125153.39         1483913.3         35.761326         3.0124171        -13.818321         2.8334730    
  -1.59000    -1171.5920         8.9978372         17.944715         1.0126733         126490.62         1503843.6         34.996339         2.9089077        -15.911257         3.8072525    
  -1.58000    -1154.2236         8.9554494         18.034482         1.0102556         127908.13         1525980.0         34.213288         2.8025670        -17.489002         4.6674418    
  -1.57000    -1136.9382         8.9120217         18.123820         1.0080487         129385.22         1549810.4         33.428582         2.6961831        -18.537873         5.3259662    
  -1.56000    -1119.7380         8.8674109         18.212718         1.0060544         130898.98         1574762.6         32.658898         2.5923667        -19.059191         5.7203689    
  -1.55000    -1102.6253         8.8215251         18.301164         1.0042736         132424.66         1600214.6         31.920568         2.4934599        -19.069003         5.8188102    
  -1.54000    -1085.6026         8.7743485         18.389145         1.0027067         133936.25         1625512.5         31.228932         2.4014681        -18.597234         5.6219507    
  -1.53000    -1068.6724         8.7259608         18.476647         1.0013533         135407.16         1649993.7         30.597690         2.3180156        -17.686302         5.1612675    
